00000  , space
00001  , e
00010  , t
00011  , a
00100  , i
00101  , o
00110  , n
00111  , s
01000  , h
01001  , r
01010  , T
01011  , A
01100  , O
01101  , D
01110  , W
01111  , I
1000000  , b 
1000001  , c 
1000010  , d
1000011  , f 
1000100  , g
1000101  , j
1000110  , k
1000111  , l
1001000  , m 
1001001  , p
1001010  , q
1001011  , u
1001100  , v
1001101  , w
1001110  , x
1001111  , y
1010000  , z
1010001  , B
1010010  , C
1010011  , E
1010100  , F
1010101  , G
1010110  , H
1010111  , J
1011000  , K
1011001  , L
1011010  , M
1011011  , N
1011100  , P
1011101  , Q
1011110  , R
1011111  , S
1100000  , U
1100001  , V
1100010  , X
1100011  , Y
1100100  , Z 
1100101  , .
1100110  , ,
1100111  , - 
1101000  , !
1101001  , '
1101010  , "
1101011  , \n   
1101100  , the
1101101  , and
1101110  , are
1101111  , for
1110000  , not
1110001  , but
1110010  , that
1110011  , with
1110100  , have
1110101  , this
1110110  , will
1110111  , be
1111000  , it
1111001  , to
1111010  , of
1111011  , in
1111100  , is
1111101  , as
1111110  , ing
1111111  , ed
